scale,absort,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
DSM-5 Hyperactive-Impulsive Symptoms,,caars_observer,CAARS Observer,ADHD,Hyperactive/Impulsive,Hyperactive/Impulsive (Observer),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
DSM-5 Inattentive Symptoms,,caars_observer,CAARS Observer,ADHD,Inattention,Inattention (Observer),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
Hyperactivity/Restlessness,,caars_observer,CAARS Observer,ADHD,Hyperactivity,Hyperactivity (Observer),,,,rating_scale,t_score,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
Impulsivity/Emotional Lability,,caars_observer,CAARS Observer,ADHD,Impulsivity,Impulsivity (Observer),,,,rating_scale,t_score,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
Inattention/Memory Problems,,caars_observer,CAARS Observer,ADHD,Inattention,Inattention (Observer),,,,rating_scale,t_score,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
Problems with Self-Concept,,caars_observer,CAARS Observer,ADHD,Internalizing,Internalizing (Observer),,,,rating_scale,t_score,"i.e., poor social relationships, low observer-esteem and observer confidence"
Inconsistency Index,,caars_observer,CAARS Observer,Symptom Validity,Inconsistency Index,Inconsistency Index (Observer),,,,symptom_validity,raw_score,an indicator of response inconsistency and symptom validity
ADHD Index,,caars_self,CAARS Self,ADHD,ADHD Index,ADHD Index (Self),,,,rating_scale,t_score,"i.e., a composite indicator for identifying individuals 'at-risk' for ADHD"
DSM-5 ADHD Symptoms Total,,caars_self,CAARS Self,ADHD,Combined ADHD,Combined ADHD (Self),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
DSM-5 Hyperactive-Impulsive Symptoms,,caars_self,CAARS Self,ADHD,Hyperactive/Impulsive,Hyperactive/Impulsive (Self),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
DSM-5 Inattentive Symptoms,,caars_self,CAARS Self,ADHD,Inattention,Inattention (Self),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
Hyperactivity/Restlessness,,caars_self,CAARS Self,ADHD,Hyperactivity,Hyperactivity (Self),,,,rating_scale,t_score,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
Impulsivity/Emotional Lability,,caars_self,CAARS Self,ADHD,Impulsivity,Impulsivity (Self),,,,rating_scale,t_score,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
Inattention/Memory Problems,,caars_self,CAARS Self,ADHD,Inattention,Inattention (Self),,,,rating_scale,t_score,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
Problems with Self-Concept,,caars_self,CAARS Self,ADHD,Internalizing,Internalizing (Self),,,,rating_scale,t_score,"i.e., poor social relationships, low self-esteem and self confidence"
Inconsistency Index,,caars_self,CAARS Self,Symptom Validity,Inconsistency Index,Inconsistency Index (Self),,,,symptom_validity,raw_score,an indicator of response inconsistency and symptom validity
Inattention/Executive Dysfunction,caars2_observer_01,caars2_observer,CAARS-2 Observer,ADHD,Inattention,Inattention (Observer),,,,rating_scale,t_score,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
Hyperactivity,caars2_observer_02,caars2_observer,CAARS-2 Observer,ADHD,Hyperactivity,Hyperactivity (Observer),,,,rating_scale,t_score,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
Impulsivity,caars2_observer_03,caars2_observer,CAARS-2 Observer,ADHD,Impulsivity,Impulsivity (Observer),,,,rating_scale,t_score,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
Emotional Dysregulation,caars2_observer_04,caars2_observer,CAARS-2 Observer,ADHD,Externalizing,Externalizing (Observer),,,,rating_scale,t_score,"i.e., has a hard time calming down, has trouble hiding their emotions"
Negative Self-Concept,caars2_observer_05,caars2_observer,CAARS-2 Observer,ADHD,Internalizing,Internalizing (Observer),,,,rating_scale,t_score,"i.e., poor social relationships, low self-esteem and self confidence"
ADHD Inattentive Symptoms,caars2_observer_06,caars2_observer,CAARS-2 Observer,ADHD,Inattention,Inattention (Observer),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
ADHD Hyperactive/Impulsive Symptoms,caars2_observer_07,caars2_observer,CAARS-2 Observer,ADHD,Hyperactive/Impulsive,Hyperactive/Impulsive (Observer),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
Total ADHD Symptoms,caars2_observer_08,caars2_observer,CAARS-2 Observer,ADHD,Combined ADHD,Combined ADHD (Observer),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
CAARS-2 ADHD Index,caars2_observer_09,caars2_observer,CAARS-2 Observer,ADHD,ADHD Index,ADHD Index (Observer),,,,rating_scale,t_score,"i.e., a composite indicator for identifying individuals 'at-risk' for ADHD"
Inattention/Executive Dysfunction,caars2_self_01,caars2_self,CAARS-2 Self,ADHD,Inattention,Inattention (Self),,,,rating_scale,t_score,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
Hyperactivity,caars2_self_02,caars2_self,CAARS-2 Self,ADHD,Hyperactivity,Hyperactivity (Self),,,,rating_scale,t_score,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
Impulsivity,caars2_self_03,caars2_self,CAARS-2 Self,ADHD,Impulsivity,Impulsivity (Self),,,,rating_scale,t_score,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
Emotional Dysregulation,caars2_self_04,caars2_self,CAARS-2 Self,ADHD,Externalizing,Externalizing (Self),,,,rating_scale,t_score,"i.e., has a hard time calming down, has trouble hiding their emotions"
Negative Self-Concept,caars2_self_05,caars2_self,CAARS-2 Self,ADHD,Internalizing,Internalizing (Self),,,,rating_scale,t_score,"i.e., poor social relationships, low self-esteem and self confidence"
ADHD Inattentive Symptoms,caars2_self_06,caars2_self,CAARS-2 Self,ADHD,Inattention,Inattention (Self),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
ADHD Hyperactive/Impulsive Symptoms,caars2_self_07,caars2_self,CAARS-2 Self,ADHD,Hyperactive/Impulsive,Hyperactive/Impulsive (Self),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 Hyperactive-Impulsive Presentation of ADHD"
Total ADHD Symptoms,caars2_self_08,caars2_self,CAARS-2 Self,ADHD,Combined ADHD,Combined ADHD (Self),,,,rating_scale,t_score,"i.e., behave in a manner consistent with the DSM-5 diagnostic criteria for Combined Presentation of ADHD"
CAARS-2 ADHD Index,caars2_self_09,caars2_self,CAARS-2 Self,ADHD,ADHD Index,ADHD Index (Self),,,,rating_scale,t_score,"i.e., a composite indicator for identifying individuals 'at-risk' for ADHD"
Activity Level,,cars2,CARS-2,Social Cognition,Autism Spectrum,Activity Level,,,,rating_scale,raw_score,CARS-2 Activity Level
Adaptation to Change,,cars2,CARS-2,Social Cognition,Autism Spectrum,Adaptation to Change,,,,rating_scale,raw_score,CARS-2 Adaptation to Change
Body Use,,cars2,CARS-2,Social Cognition,Autism Spectrum,Body Use,,,,rating_scale,raw_score,CARS-2 Body Use
CARS-2 Total Score,,cars2,CARS-2,Social Cognition,Autism Spectrum,CARS-2 Total Score,,,,rating_scale,raw_score,A semi-structured interview of high-functioning ASD
Emotional Response,,cars2,CARS-2,Social Cognition,Autism Spectrum,Emotional Response,,,,rating_scale,raw_score,CARS-2 Emotional Response
Fear or Nervousness,,cars2,CARS-2,Social Cognition,Autism Spectrum,Mood/Anxiety,,,,rating_scale,raw_score,CARS-2 Fear or Nervousness
General Impressions,,cars2,CARS-2,Social Cognition,Autism Spectrum,ASD Impression,,,,rating_scale,raw_score,CARS-2 General Impressions
Imitation,,cars2,CARS-2,Social Cognition,Autism Spectrum,Imitation,,,,rating_scale,raw_score,CARS-2 Imitation
Level of Consistency of Intellectual Response,,cars2,CARS-2,Social Cognition,Autism Spectrum,Intellectual Consistency,,,,rating_scale,raw_score,CARS-2 Level of Consistency of Intellectual Response
Listening Response,,cars2,CARS-2,Social Cognition,Autism Spectrum,Listening Response,,,,rating_scale,raw_score,CARS-2 Listening Response
Nonverbal Communication,,cars2,CARS-2,Social Cognition,Autism Spectrum,Nonverbal Communication,,,,rating_scale,raw_score,CARS-2 Nonverbal Communication
Object Use,,cars2,CARS-2,Social Cognition,Autism Spectrum,Object Use,,,,rating_scale,raw_score,CARS-2 Object Use
Relating to People,,cars2,CARS-2,Social Cognition,Autism Spectrum,Relating to People,,,,rating_scale,raw_score,CARS-2 Relating to People
"Taste, Smell, and Touch Response and Use",,cars2,CARS-2,Social Cognition,Autism Spectrum,Sensory/Motor,,,,rating_scale,raw_score,"CARS-2 Taste, Smell, and Touch Response and Use"
Verbal Communication,,cars2,CARS-2,Social Cognition,Autism Spectrum,Verbal Communication,,,,rating_scale,raw_score,CARS-2 Verbal Communication
Visual Response,,cars2,CARS-2,Social Cognition,Autism Spectrum,Visual Response,,,,rating_scale,raw_score,CARS-2 Visual Response
Adaptation to Change/Restricted Interests,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Adaptation to Change/Restricted Interests,,,,rating_scale,raw_score,This scale looks at Biggie's flexibility in adapting to changes and the presence of restricted interests. A moderately atypical score indicates significant resistance to change and a strong preference for routine and specific interests.
Body Use,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Body Use,,,,rating_scale,raw_score,"This scale assesses Biggie's use of body movements in a socially appropriate manner. A moderately atypical score reflects challenges in using body language effectively, which may include repetitive or unusual movements."
CARS 2-HF Total Score,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,CARS 2-HF Total Score,,,,rating_scale,t_score,"The total score summarizes Biggie's overall level of autism spectrum disorder severity. A high score indicates severe symptoms, suggesting significant challenges in social, communication, and behavioral domains."
Emotional Expression and Regulation of Emotions,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Emotional Expression and Regulation of Emotions,,,,rating_scale,raw_score,"This scale measures Biggie's capacity to express emotions appropriately and regulate emotional responses. A severely impaired score suggests profound difficulties in managing and expressing emotions, which may lead to inappropriate emotional reactions and difficulty in emotional regulation."
Fear or Anxiety,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Mood/Anxiety,,,,rating_scale,raw_score,"This scale assesses Biggie's levels of fear and anxiety. A severely impaired score suggests high levels of anxiety and fear, which can significantly impact daily functioning and interactions."
General Impressions,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,ASD Impression,,,,rating_scale,raw_score,This scale provides a general impression of Biggie's overall functioning related to ASD. A moderate-to-severe score indicates significant autism spectrum traits affecting various aspects of daily life.
Level of Consistency of Intellectual Response,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Intellectual Consistency,,,,rating_scale,raw_score,This scale evaluates the consistency of Biggie's intellectual responses. An expected range score suggests stable and reliable cognitive performance.
Listening Response,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Listening Response,,,,rating_scale,raw_score,This scale evaluates Biggie's ability to respond appropriately to auditory information. A moderately atypical score indicates significant challenges in processing and responding to spoken language.
Nonverbal Communication,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Nonverbal Communication,,,,rating_scale,raw_score,"This scale assesses Biggie's use of nonverbal communication. A moderately atypical score suggests challenges in using gestures, facial expressions, and other nonverbal cues."
Object Use in Play,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Object Use in Play,,,,rating_scale,raw_score,"This scale examines Biggie's ability to use objects in play in a typical manner. A mildly atypical score suggests slight deviations from typical play behavior, possibly including repetitive use of objects or limited imagination in play."
Relating to People,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Relating to People,,,,rating_scale,raw_score,"This scale evaluates how Biggie interacts with others. A score of moderately atypical indicates noticeable difficulties in forming and maintaining relationships, often resulting in awkward or unusual social interactions."
Social-Emotional Understanding,,cars2_hf,CARS 2-HF,Social Cognition,Autism Spectrum,Social-Emotional Understanding,,,,rating_scale,raw_score,"This scale assesses Biggie's ability to understand and appropriately respond to social and emotional cues from others. A moderately impaired score indicates significant challenges in recognizing and interpreting social-emotional information, impacting daily social interactions."
